Button,Address,Command
Power,0x2287,0xBE41
Display,0x2287,0xAA55
Search,0x2287,0xA857
Eject,0x2287,0xBB44
Volume,0x2287,0x847B
One,0x2287,0xBA45
Two,0x2287,0xB946
Three,0x2287,0xB847
Caption,0x2287,0x857A
Four,0x2287,0xB748
Five,0x2287,0xB649
Six,0x2287,0xB54A
Picture,0x2287,0x8679
Seven,0x2287,0xB44B
Eight,0x2287,0xB34C
Nine,0x2287,0xB24D
Swap,0x2287,0xAF50
X,0x2287,0xA758
Zero,0x2287,0xB14E
PlusTen,0x2287,0xAE51
SwapAB,0x2287,0xBC43
Pause,0x2287,0xA45B
LastChapter,0x2287,0xA25D
NextChapter,0x2287,0xA05F
Play,0x2287,0xA15E
Rewind,0x2287,0xAD52
FastFoward,0x2287,0xAC53
Stop,0x2287,0x9F60
Settings,0x2287,0x8B74
Title,0x2287,0x8F70
Up,0x2287,0x8877
Star,0x2287,0x8E71
Mode,0x2287,0xA35C
Left,0x2287,0x8A75
Check,0x2287,0x8D72
Right,0x2287,0x8976
Zoom,0x2287,0x7E81
Down,0x2287,0x8778
Return,0x2287,0x8C73